"RelativePath","Extension","SizeKB"
"analysis\class_report.csv",".csv","1.3"
"analysis\confusion_matrix.csv",".csv","0.9"
"analysis\segment_accuracy.csv",".csv","4.1"
"analysis\sim_transition_rules\qwen_group_rule_candidates.csv",".csv","7.3"
"analysis\sim_transition_rules\qwen_performance_by_source.csv",".csv","0.3"
"analysis\sim_transition_rules\qwen_rule_search.csv",".csv","10.4"
"analysis\sim_transition_rules\report.json",".json","4.8"
"analysis\sim_transition_rules\report.md",".md","1.2"
"analysis\sim_transition_rules\sim_explore_last_action_step.csv",".csv","23.8"
"analysis\sim_transition_rules\sim_explore_last_action_transition.csv",".csv","2.1"
"analysis\sim_transition_rules\sim_explore_second_last_transition.csv",".csv","2.1"
"analysis\sim_transition_rules\sim_explore_step_distribution.csv",".csv","2.5"
"analysis\sim_transition_rules\state_lookup_predictability.csv",".csv","0.9"
"analysis\sim_transition_rules\validation_rule_predictions.csv",".csv","1401.5"
"analysis\top_confusions.csv",".csv","3.8"
"analyze_exec_check_changes.py",".py","19.9"
"analyze_file_search_oracle.py",".py","11.1"
"analyze_flag_pattern_language_coverage.py",".py","13.1"
"analyze_language_errors.py",".py","12.8"
"analyze_qwen_confusions.py",".py","12.9"
"analyze_sim_transition_rules.py",".py","31"
"analyze_v18_e5_ensemble.py",".py","11.8"
"audit_v21_stable_confusion_pairs.py",".py","21.1"
"audit_v21b_stable_confusion_pairs_text.py",".py","18.4"
"build_submit_encoder_v16.py",".py","5"
"build_submit_strict.py",".py","7.2"
"build_submit_tfidf.ps1",".ps1","1.4"
"build_submit_tfidf_fixed.ps1",".ps1","1.6"
"build_submit_v13_clean.py",".py","7.2"
"build_submit_v13_clean_raw.py",".py","6.8"
"build_submit_v13_segment.py",".py","7.5"
"build_submit_v14_action8.py",".py","7.5"
"build_submit_v15_policy.py",".py","6.3"
"build_submit_v18_qwen_int8pack.py",".py","11.1"
"build_submit_v23_qwen_tree_blend.py",".py","12"
"build_submit_v37.ps1",".ps1","7.6"
"build_submit_v37_qwen_tree_specialists.py",".py","15.5"
"build_transition_matrix.py",".py","3.3"
"check_gpu.py",".py","0.3"
"diagnose_action_errors.py",".py","12.9"
"diagnose_viterbi_submission.py",".py","8"
"extract_v12_error_samples.py",".py","10.9"
"feature_utils_encoder_v16.py",".py","13.6"
"feature_utils_llm.py",".py","4"
"feature_utils_qwen_v13.py",".py","27.8"
"feature_utils_qwen_v13_clean.py",".py","30.4"
"feature_utils_qwen_v13_segment.py",".py","14.7"
"feature_utils_qwen_v14_action8.py",".py","14.7"
"feature_utils_qwen_v2.py",".py","4.5"
"feature_utils_qwen_v3.py",".py","2.9"
"feature_utils_qwen_v4.py",".py","14.6"
"feature_utils_qwen_v4_enflags.py",".py","18.2"
"find_v21_validation_index_source.py",".py","8.5"
"fit_v15_policy_overlay.py",".py","15.3"
"fit_v15_policy_overlay_fast.py",".py","21.3"
"friend_cur160_unpack\model\feature_utils_qwen_v4.py",".py","14.6"
"friend_cur160_unpack\model\metadata.json",".json","2"
"friend_cur160_unpack\model\postprocess.json",".json","1"
"friend_cur160_unpack\model\qwen_config\config.json",".json","1.3"
"friend_cur160_unpack\model\qwen_config\merges.txt",".txt","1632.7"
"friend_cur160_unpack\model\qwen_int8\index.json",".json","44.3"
"friend_cur160_unpack\model\tree_blend_config.json",".json","0.1"
"friend_cur160_unpack\model\viterbi_config.json",".json","0.3"
"friend_cur160_unpack\requirements.txt",".txt","0"
"friend_cur160_unpack\script.py",".py","32.6"
"github_file_inventory.csv",".csv","0"
"infer_qwen_lora.py",".py","3.8"
"infer_qwen_pool_v3.py",".py","5.3"
"infer_qwen_segment_v4.py",".py","5.2"
"infer_qwen_segment_v4_optimized.py",".py","5"
"infer_qwen_token_v2.py",".py","5.9"
"install_windows.ps1",".ps1","0.2"
"logs_v13_segment_5fold.txt",".txt","1.6"
"make_prototype_oof.py",".py","7.6"
"make_selective_dual_teacher_oof.py",".py","7.7"
"make_v13_feature_files.py",".py","16.8"
"make_v13b_split_arch.py",".py","12.7"
"make_v27_tree_teacher_oof.py",".py","10.6"
"make_v27_tree_teacher_probs.py",".py","4.8"
"make_v31_linear_oof.py",".py","6.8"
"merges.txt",".txt","1632.7"
"patch_feature_utils_enflags.py",".py","6.6"
"patch_v12_load.py",".py","1.2"
"patch_v13_feature_dim.py",".py","2"
"patch_v13_feature_dim_simple.py",".py","0.7"
"patch_v13_layernorm.py",".py","1.1"
"patch_v13_layernorm_simple.py",".py","1.3"
"policy_utils_v15.py",".py","19.8"
"prepare_submit_qwen_calibrated.py",".py","6.1"
"prepare_submit_qwen_calibrated_v2.py",".py","5.1"
"probe_cur160_postprocess_nested.py",".py","7.2"
"probe_cur160_second_view.py",".py","17.9"
"probe_external_oof_blend.py",".py","7.8"
"probe_teacher_blend_cur160_v96.py",".py","8.1"
"probe_v12_v24_15b_ensemble.py",".py","19.4"
"probe_v19_e5_selector.py",".py","13.8"
"probe_v19_e5_selector_binary_only.py",".py","12.7"
"probe_v20_e5_pairwise_selector.py",".py","27.7"
"probe_v20b_e5_pairwise_selector_aligned.py",".py","28.7"
"probe_v20c_e5_pairwise_multiseed_holdout.py",".py","10.8"
"probe_v22_qwen_checkpoint_ensemble.py",".py","26.3"
"probe_v23_tree_tfidf_structured.py",".py","33.4"
"probe_v23b_fixed_tree_blend_weight.py",".py","9.3"
"probe_v24_calibrator_tree_blend.py",".py","13.7"
"probe_v24_calibrator_tree_combo.py",".py","23.8"
"probe_v24b_leakfree_calibrator_tree.py",".py","16.8"
"probe_v25_class_specific_tree_weight.py",".py","12.2"
"probe_v27_tree_blend.py",".py","5.7"
"probe_v29_ensemble_candidate_screen.py",".py","14.2"
"probe_v29_three_way_blend.py",".py","8.4"
"probe_v30_gated_holdout.py",".py","12"
"probe_v32_file_pair_reranker.py",".py","13.9"
"probe_v32_pair_gate_external.py",".py","11.9"
"probe_v33_read_list_directional.py",".py","10.8"
"probe_v34_v23_plus_v33.py",".py","11.1"
"probe_v35_ask_plan_specialist.py",".py","13.7"
"probe_v36_combine_v33_v35.py",".py","13.3"
"probe_v38_stateful_features.py",".py","41.2"
"probe_v39_class_specific_blend.py",".py","7.6"
"qwen_tfidf_ensemble_eval.py",".py","13.1"
"qwen_token_runs\checkpoint-210\merges.txt",".txt","1632.7"
"qwen_token_runs\checkpoint-210\README.md",".md","5"
"qwen_token_runs\checkpoint-210\trainer_state.json",".json","3"
"README.md",".md","5"
"README.txt",".txt","0.5"
"README_POSTPROCESS.md",".md","0.7"
"README_V2.md",".md","1.3"
"README_V3.md",".md","1.2"
"README_V3_1.md",".md","0.5"
"README_V4.md",".md","2"
"requirements.txt",".txt","0"
"requirements_llm.txt",".txt","0.1"
"requirements_qwen_calibrated_v2.txt",".txt","0.1"
"requirements_strict.txt",".txt","0.1"
"run_qwen_v4_oof_folds.py",".py","40.6"
"screen_ask_plan_specialist.py",".py","13.4"
"screen_classwise_tree_blend.py",".py","13.1"
"screen_file_search_specialist.py",".py","13.3"
"screen_last_action_prior.py",".py","18.1"
"screen_premade_oof.py",".py","7.5"
"screen_viterbi_transition (1).py",".py","11.2"
"screen_viterbi_transition.py",".py","11.2"
"script.py",".py","32.6"
"script_fixed.py",".py","15.1"
"script_qwen_calibrated.py",".py","19.5"
"script_submission_encoder_v16.py",".py","10.4"
"script_submission_strict.py",".py","19.5"
"script_submission_v13.py",".py","20.3"
"script_submission_v13_clean.py",".py","21.3"
"script_submission_v13_clean_raw.py",".py","20.5"
"script_submission_v13_segment.py",".py","19.5"
"script_submission_v14_action8.py",".py","19.5"
"script_submission_v15_policy.py",".py","16.8"
"script_submission_v18_qwen_int8pack.py",".py","21.8"
"script_submission_v23_qwen_tree_blend.py",".py","32.6"
"script_submission_v30_enflags_global_fixdim.py",".py","34.3"
