source_relative_path,destination_relative_path,category,listed_in_inventory
requirements.txt,requirements.txt,environment,True
install_windows.ps1,scripts/install_windows.ps1,environment,True
feature_utils_qwen_v4.py,src/core/feature_utils_qwen_v4.py,core,True
train_qwen_segment_v4.py,src/core/train_qwen_segment_v4.py,core,True
train_qwen_distill_v12.py,src/core/train_qwen_distill_v12.py,core,True
run_qwen_v4_oof_folds.py,src/core/run_qwen_v4_oof_folds.py,core,True
infer_qwen_segment_v4.py,src/core/infer_qwen_segment_v4.py,core,True
infer_qwen_segment_v4_optimized.py,src/core/infer_qwen_segment_v4_optimized.py,core,True
tune_qwen_v4_postprocess.py,src/core/tune_qwen_v4_postprocess.py,core,True
friend_cur160_unpack\script.py,src/inference/script_cur160.py,final_inference,True
build_submit_v23_qwen_tree_blend.py,src/inference/build_submit_v23_qwen_tree_blend.py,final_inference,True
script_submission_v23_qwen_tree_blend.py,src/inference/script_submission_v23_qwen_tree_blend.py,final_inference,True
build_submit_v18_qwen_int8pack.py,src/inference/build_submit_v18_qwen_int8pack.py,final_inference,True
script_submission_v18_qwen_int8pack.py,src/inference/script_submission_v18_qwen_int8pack.py,final_inference,True
train_v23_tree_full.py,src/tree/train_v23_tree_full.py,tree,True
probe_v23_tree_tfidf_structured.py,src/tree/probe_v23_tree_tfidf_structured.py,tree,True
probe_v23b_fixed_tree_blend_weight.py,src/tree/probe_v23b_fixed_tree_blend_weight.py,tree,True
make_v27_tree_teacher_oof.py,src/tree/make_v27_tree_teacher_oof.py,tree,True
make_v27_tree_teacher_probs.py,src/tree/make_v27_tree_teacher_probs.py,tree,True
train_qwen_distill_v27_tree_teacher.py,src/tree/train_qwen_distill_v27_tree_teacher.py,tree,True
train_qwen_distill_v27_tree_teacher_gated_v2.py,src/tree/train_qwen_distill_v27_tree_teacher_gated_v2.py,tree,True
probe_v27_tree_blend.py,src/tree/probe_v27_tree_blend.py,tree,True
feature_utils_qwen_v13.py,experiments/model_evolution/feature_utils_qwen_v13.py,model_evolution,True
feature_utils_qwen_v13_clean.py,experiments/model_evolution/feature_utils_qwen_v13_clean.py,model_evolution,True
feature_utils_qwen_v13_segment.py,experiments/model_evolution/feature_utils_qwen_v13_segment.py,model_evolution,True
feature_utils_qwen_v14_action8.py,experiments/model_evolution/feature_utils_qwen_v14_action8.py,model_evolution,True
train_qwen_distill_v13.py,experiments/model_evolution/train_qwen_distill_v13.py,model_evolution,True
train_qwen_distill_v13_clean.py,experiments/model_evolution/train_qwen_distill_v13_clean.py,model_evolution,True
train_qwen_distill_v13_segment.py,experiments/model_evolution/train_qwen_distill_v13_segment.py,model_evolution,True
train_qwen_distill_v14_action8.py,experiments/model_evolution/train_qwen_distill_v14_action8.py,model_evolution,True
train_qwen_distill_v26_longctx.py,experiments/model_evolution/train_qwen_distill_v26_longctx.py,model_evolution,True
train_qwen_distill_v28_hard_negative.py,experiments/model_evolution/train_qwen_distill_v28_hard_negative.py,model_evolution,True
train_qwen_segment_v24_15b.py,experiments/model_evolution/train_qwen_segment_v24_15b.py,model_evolution,True
probe_v12_v24_15b_ensemble.py,experiments/model_evolution/probe_v12_v24_15b_ensemble.py,model_evolution,True
probe_teacher_blend_cur160_v96.py,experiments/ensembles/probe_teacher_blend_cur160_v96.py,ensemble,True
make_selective_dual_teacher_oof.py,experiments/ensembles/make_selective_dual_teacher_oof.py,ensemble,True
probe_external_oof_blend.py,experiments/ensembles/probe_external_oof_blend.py,ensemble,True
probe_v29_ensemble_candidate_screen.py,experiments/ensembles/probe_v29_ensemble_candidate_screen.py,ensemble,True
probe_v29_three_way_blend.py,experiments/ensembles/probe_v29_three_way_blend.py,ensemble,True
probe_v30_gated_holdout.py,experiments/ensembles/probe_v30_gated_holdout.py,ensemble,True
probe_v39_class_specific_blend.py,experiments/ensembles/probe_v39_class_specific_blend.py,ensemble,True
train_exec_check_specialist_fixed.py,experiments/specialists/train_exec_check_specialist_fixed.py,specialist,True
screen_ask_plan_specialist.py,experiments/specialists/screen_ask_plan_specialist.py,specialist,True
screen_file_search_specialist.py,experiments/specialists/screen_file_search_specialist.py,specialist,True
probe_v32_file_pair_reranker.py,experiments/specialists/probe_v32_file_pair_reranker.py,specialist,True
probe_v33_read_list_directional.py,experiments/specialists/probe_v33_read_list_directional.py,specialist,True
probe_v35_ask_plan_specialist.py,experiments/specialists/probe_v35_ask_plan_specialist.py,specialist,True
probe_v36_combine_v33_v35.py,experiments/specialists/probe_v36_combine_v33_v35.py,specialist,True
train_v36_specialists_full.py,experiments/specialists/train_v36_specialists_full.py,specialist,True
build_submit_v37_qwen_tree_specialists.py,experiments/specialists/build_submit_v37_qwen_tree_specialists.py,specialist,True
build_transition_matrix.py,experiments/sequence/build_transition_matrix.py,sequence,True
screen_viterbi_transition.py,experiments/sequence/screen_viterbi_transition.py,sequence,True
diagnose_viterbi_submission.py,experiments/sequence/diagnose_viterbi_submission.py,sequence,True
analyze_sim_transition_rules.py,experiments/sequence/analyze_sim_transition_rules.py,sequence,True
probe_cur160_postprocess_nested.py,experiments/ablations/probe_cur160_postprocess_nested.py,ablation,True
probe_cur160_second_view.py,experiments/ablations/probe_cur160_second_view.py,ablation,True
screen_last_action_prior.py,experiments/ablations/screen_last_action_prior.py,ablation,True
screen_classwise_tree_blend.py,experiments/ablations/screen_classwise_tree_blend.py,ablation,True
probe_v25_class_specific_tree_weight.py,experiments/ablations/probe_v25_class_specific_tree_weight.py,ablation,True
probe_v38_stateful_features.py,experiments/ablations/probe_v38_stateful_features.py,ablation,True
train_qwen_retrieval_v7.py,experiments/retrieval/train_qwen_retrieval_v7.py,retrieval,True
train_template_sequence_retrieval_v11.py,experiments/retrieval/train_template_sequence_retrieval_v11.py,retrieval,True
train_hierarchical_tfidf_v1.py,experiments/retrieval/train_hierarchical_tfidf_v1.py,retrieval,True
qwen_tfidf_ensemble_eval.py,experiments/retrieval/qwen_tfidf_ensemble_eval.py,retrieval,True
tune_qwen_tfidf_selector_v1.py,experiments/retrieval/tune_qwen_tfidf_selector_v1.py,retrieval,True
analyze_qwen_confusions.py,analysis/code/analyze_qwen_confusions.py,analysis,True
analyze_file_search_oracle.py,analysis/code/analyze_file_search_oracle.py,analysis,True
analyze_exec_check_changes.py,analysis/code/analyze_exec_check_changes.py,analysis,True
analyze_language_errors.py,analysis/code/analyze_language_errors.py,analysis,True
analyze_flag_pattern_language_coverage.py,analysis/code/analyze_flag_pattern_language_coverage.py,analysis,True
audit_v21_stable_confusion_pairs.py,analysis/code/audit_v21_stable_confusion_pairs.py,analysis,True
diagnose_action_errors.py,analysis/code/diagnose_action_errors.py,analysis,True
analysis\class_report.csv,analysis/results/class_report.csv,analysis_result,True
analysis\confusion_matrix.csv,analysis/results/confusion_matrix.csv,analysis_result,True
analysis\segment_accuracy.csv,analysis/results/segment_accuracy.csv,analysis_result,True
