true_action,pred_action,count,true_total,error_ratio_within_true
grep_search,read_file,485,1982,0.24470232088799193
read_file,grep_search,404,1851,0.2182603997839006
read_file,list_directory,271,1851,0.14640734737979472
grep_search,list_directory,228,1982,0.11503531786074672
list_directory,read_file,225,866,0.25981524249422633
glob_pattern,read_file,184,1057,0.17407757805108798
apply_patch,edit_file,180,965,0.18652849740932642
ask_user,plan_task,151,540,0.2796296296296296
glob_pattern,grep_search,147,1057,0.1390728476821192
run_bash,run_tests,142,1013,0.140177690029615
glob_pattern,list_directory,134,1057,0.12677388836329234
edit_file,apply_patch,130,2235,0.058165548098434
plan_task,ask_user,118,535,0.2205607476635514
list_directory,grep_search,112,866,0.12933025404157045
run_tests,run_bash,106,913,0.11610076670317634
lint_or_typecheck,run_bash,103,457,0.22538293216630198
lint_or_typecheck,run_tests,102,457,0.22319474835886213
run_tests,lint_or_typecheck,83,913,0.09090909090909091
run_bash,lint_or_typecheck,83,1013,0.08193484698914116
read_file,glob_pattern,74,1851,0.039978390059427334
grep_search,glob_pattern,71,1982,0.03582240161453078
web_search,ask_user,54,255,0.21176470588235294
ask_user,web_search,54,540,0.1
plan_task,web_search,45,535,0.08411214953271028
web_search,plan_task,34,255,0.13333333333333333
list_directory,glob_pattern,30,866,0.03464203233256351
read_file,run_bash,4,1851,0.0021609940572663426
ask_user,read_file,3,540,0.005555555555555556
ask_user,grep_search,3,540,0.005555555555555556
ask_user,edit_file,3,540,0.005555555555555556
run_bash,read_file,3,1013,0.0029615004935834156
run_bash,edit_file,3,1013,0.0029615004935834156
read_file,lint_or_typecheck,3,1851,0.0016207455429497568
edit_file,write_file,3,2235,0.0013422818791946308
plan_task,read_file,2,535,0.003738317757009346
run_tests,read_file,2,913,0.002190580503833516
run_tests,glob_pattern,2,913,0.002190580503833516
run_bash,grep_search,2,1013,0.0019743336623889436
run_bash,list_directory,2,1013,0.0019743336623889436
glob_pattern,run_bash,2,1057,0.001892147587511826
glob_pattern,run_tests,2,1057,0.001892147587511826
read_file,edit_file,2,1851,0.0010804970286331713
read_file,plan_task,2,1851,0.0010804970286331713
grep_search,edit_file,2,1982,0.0010090817356205853
grep_search,run_tests,2,1982,0.0010090817356205853
grep_search,lint_or_typecheck,2,1982,0.0010090817356205853
web_search,read_file,1,255,0.00392156862745098
web_search,glob_pattern,1,255,0.00392156862745098
write_file,apply_patch,1,296,0.0033783783783783786
lint_or_typecheck,grep_search,1,457,0.002188183807439825
plan_task,write_file,1,535,0.001869158878504673
plan_task,apply_patch,1,535,0.001869158878504673
run_tests,grep_search,1,913,0.001095290251916758
run_tests,edit_file,1,913,0.001095290251916758
apply_patch,lint_or_typecheck,1,965,0.0010362694300518134
run_bash,glob_pattern,1,1013,0.0009871668311944718
run_bash,write_file,1,1013,0.0009871668311944718
read_file,write_file,1,1851,0.0005402485143165856
read_file,apply_patch,1,1851,0.0005402485143165856
read_file,run_tests,1,1851,0.0005402485143165856
read_file,web_search,1,1851,0.0005402485143165856
read_file,respond_only,1,1851,0.0005402485143165856
grep_search,write_file,1,1982,0.0005045408678102926
grep_search,apply_patch,1,1982,0.0005045408678102926
grep_search,run_bash,1,1982,0.0005045408678102926
edit_file,read_file,1,2235,0.00044742729306487697
edit_file,list_directory,1,2235,0.00044742729306487697
edit_file,glob_pattern,1,2235,0.00044742729306487697
edit_file,run_bash,1,2235,0.00044742729306487697
edit_file,lint_or_typecheck,1,2235,0.00044742729306487697
edit_file,ask_user,1,2235,0.00044742729306487697
edit_file,web_search,1,2235,0.00044742729306487697
edit_file,respond_only,1,2235,0.00044742729306487697
